id,popularity,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
237311,11.420333333333332,Three Little Birds,1,6,en,0,0.0,"Set in 1957, post-Windrush, and amidst the booming decade set alight by promise, the rhythm of rock and roll, swing, Hollywood starlets and fabulous fashion Three Little Birds will introduce Dudley and the rest of the world to gregarious sisters Leah and Chantrelle and their virtuous, bible-loving acquaintance, Hosanna, as they board a cruise ship from Jamaica bound for a new life in Blighty.",False,/1h5xqxNDURXmXXesak9x665TGBJ.jpg,2023-10-22,2023-10-29,https://www.itv.com/watch/three-little-birds/10a3668/10a3668a0001,True,Three Little Birds,/trBFtIhK23fAEse7n1T5sWzyFYN.jpg,Scripted,Returning Series,,Drama,Lenny Henry,en,ITV1,GB,English,,United Kingdom,0
237312,1.3006666666666666,嗨！道奇儿歌系列,1,1,zh,0,0.0,,False,,2023-10-01,2023-10-01,,True,嗨！道奇儿歌系列,/wmkFh8jtAoaEdLcXirh4ZNArD2m.jpg,Scripted,Returning Series,,"Animation, Kids",,,,CN,,,,0
237313,1.5856666666666666,Queens,1,1,en,0,0.0,Queens follows matriarchies and female leaders from the animal kingdom around the world.,False,,,,,True,Queens,,Documentary,In Production,All hail.,Documentary,,en,National Geographic,US,English,"Wildstar Films, National Geographic","United Kingdom, United States of America",0
237314,27.198666666666668,De Slimste Mens: The Morning After,1,25,nl,0,0.0,"Where there is a winner every evening, the curtain also falls for a less fortunate participant. That is why Pieterjan Marchand will welcome the unlucky guy with open arms every morning after the fact from October 17.",False,/ekFmOBNmoYQwBxqTlWv7ho2cc3D.jpg,2023-10-17,2023-11-01,https://www.goplay.be/de-slimste-mens-the-morning-after,True,De Slimste Mens: The Morning After,/kDnrapI08W0uMWqRU91kNsDT1eH.jpg,Reality,Returning Series,,"Reality, Talk",,nl,GoPlay,BE,Nederlands,,Belgium,20
237315,2.01,"L'amour est dans le pré, la vie d'après",1,10,fr,0,0.0,,False,/tRhG9bs7etJfaRMKOxG7rnUuKhm.jpg,2023-10-16,2023-10-16,,True,"L'amour est dans le pré, la vie d'après",/kMoW2ywZSjlv2vff8V0e1zTbhRT.jpg,Scripted,Returning Series,,Reality,,fr,6play,FR,Français,FremantleMedia France,France,0
237316,0.9143333333333332,Love Is Blind: UK,1,1,en,0,0.0,"U.K. incarnation of the successful Netflix franchise where single men and women look for love and get engaged, all before meeting in person.",False,,,,https://www.netflix.com/title/81676358,True,Love Is Blind: UK,,Reality,In Production,Can you fall in love with someone you've never seen?,Reality,,en,Netflix,GB,English,CPL Productions,United Kingdom,0
237317,1.65,The Family,1,28,ar,0,0.0,"The series takes place during the war of attrition and its aftermath, in a building and the relationship between its inhabitants, and about a family who loses their son in the war and its impact on them. It also deals with the issue of terrorism and poverty, which drives the poor to drift behind extremist groups.",False,,1994-02-11,1994-03-10,,False,العائلة,/bw493LulZNjUfWT9xLa9MijJTmu.jpg,Miniseries,Ended,,Drama,,,,EG,,,Egypt,45
237318,0.8396666666666667,惊天动地,1,5,zh,0,0.0,,False,/iWU8fxgvtBLRiFLMuazfi5d3pYi.jpg,2006-04-12,2006-05-10,,True,惊天动地,/rDLrcnfEhz01q8B4MobNXuvmfok.jpg,Scripted,Returning Series,,,,,,CN,,,,0
237319,0.6,De regel van 3S,1,1,nl,0,0.0,,False,,2017-01-30,2017-01-30,,True,De regel van 3S,,Scripted,Returning Series,,,,nl,Ketnet,BE,Nederlands,,,0
237320,1.19,Dream Travel,1,15,ar,0,0.0,"As Mr. Anis retires from his job at the railroad, he is soon devastated by the utter loneliness he has to live with. Seeking companionship and intimacy, he turns his house into a motel, not for material gain, but for human interaction, for company and friendship.",False,,1986-08-19,1986-09-02,,True,سفر الأحلام,/t4yoJD4AvLKS6Tn81CHWm0qSdy3.jpg,Miniseries,Returning Series,,Drama,,,,EG,,Zainy Film,Egypt,45
237321,6.256333333333333,Morderczynie,1,1,pl,0,0.0,"Rising police talent Karolina delves deep to uncover her missing ex-cop father's fate, stumbling upon treacherous family shadows and a corrupt police scheme. As she battles against toxic masculinity, shocking revelations about her father emerge.",False,/dP3hRhd9cDqyJ5DqKwfeROu7kZU.jpg,2023-10-27,2023-10-27,,True,Morderczynie,/pDL16HnZ0ALFDTDPK9yAWCDPd3d.jpg,Scripted,Returning Series,,Crime,Kristoffer Rus,pl,Viaplay,PL,Polski,Paprika Studios,PL,0
237322,2.067333333333333,超能宝宝识颜色Super baby recognizes colors,1,1,en,0,0.0,"Every child loves cars, with concept sports cars and construction vehicles in different colors. They like to play, build, assemble puzzles, paint, and do everything kids like to do. Let your baby learn happily in each episode of the game.

每个孩子都喜欢车，着着不同颜色的概念跑车和工程车，他们喜欢玩耍、搭建、组装拼图、绘画, 做一切孩子们喜欢做的事。让宝宝在每集的游戏中快乐学习。",False,,2023-10-17,2023-10-17,,True,超能宝宝识颜色Super baby recognizes colors,,Scripted,Returning Series,,,,,,US,,,,0
237323,2.188333333333333,Les docs d'Ambre Chalumeau,1,3,fr,0,0.0,,False,,2023-01-24,2023-10-17,,True,Les docs d'Ambre Chalumeau,,Scripted,Returning Series,,Documentary,,,TMC,FR,,Bangumi,,0
237324,5.183,青年映像计划,1,20,zh,0,0.0,,False,,2023-09-26,2023-10-31,,True,青年映像计划,/oaPvqNQ0q6jXd0OVDMvzBIoOcdi.jpg,Scripted,Returning Series,,Documentary,,,bilibili,CN,,bilibili,China,0
237325,2.8526666666666665,吞噬星空,1,1,zh,0,0.0,,False,,,2023-09-05,,True,吞噬星空,/71x2aaWROyCvcbPDnhEfU8Oo0M3.jpg,Scripted,In Production,,"Animation, Action & Adventure",,,,CN,,,,0
